number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning
3901,04/09/2023,1,4,12,33,45,48,35,"$2,836,385","$117,883","$1,677",$455,$50,$25,$10,1,3,145,292,"6,900","8,561","138,468"
3902,07/09/2023,17,19,24,26,31,46,37,-,"$242,958","$1,920",$512,$50,$25,$10,-,1,87,178,"4,659","5,645","85,861"
3903,11/09/2023,1,20,21,27,38,48,17,-,-,"$2,385",$387,$50,$25,$10,-,-,101,340,"6,206","9,714","126,062"
3904,14/09/2023,14,18,24,26,37,45,28,-,"$231,326","$1,781",$397,$50,$25,$10,-,4,222,544,"10,664","16,775","202,156"
3905,18/09/2023,4,7,27,32,37,49,44,"$3,244,955","$173,815","$1,663",$408,$50,$25,$10,4,9,647,"1,441","34,069","43,569","603,512"
3906,21/09/2023,2,8,28,31,48,49,37,-,-,"$1,367",$399,$50,$25,$10,-,-,118,221,"6,210","5,887","104,496"
3907,25/09/2023,3,14,19,23,28,43,25,-,"$603,321","$1,878",$342,$50,$25,$10,-,1,135,405,"8,264","12,089","151,268"
3908,28/09/2023,3,13,23,28,37,38,9,-,"$47,930","$1,398",$259,$50,$25,$10,-,12,283,834,"13,994","23,187","233,390"
3909,02/10/2023,2,10,12,13,45,48,11,"$13,077,918","$62,991","$1,570",$306,$50,$25,$10,1,25,690,"1,936","36,337","53,754","654,305"
3910,05/10/2023,4,7,9,38,41,42,16,-,"$64,795","$1,537",$374,$50,$25,$10,-,4,116,260,"5,485","7,670","108,040"
3911,09/10/2023,1,5,9,25,44,49,43,"$1,031,021","$48,999",$896,$353,$50,$25,$10,3,8,301,417,"12,061","10,852","199,583"
3912,12/10/2023,14,15,26,35,44,46,43,-,"$130,117","$2,237",$511,$50,$25,$10,-,2,80,191,"4,451","5,199","83,768"
3913,16/10/2023,21,27,30,38,40,44,6,"$3,007,219","$124,289","$1,872",$417,$50,$25,$10,1,3,137,336,"6,388","10,405","124,834"
3914,19/10/2023,1,7,16,20,35,41,6,"$1,163,272","$122,450","$1,452",$352,$50,$25,$10,1,2,116,261,"5,047","8,887","92,792"
3915,23/10/2023,2,3,13,15,34,37,8,-,"$257,824","$2,396",$293,$50,$25,$10,-,1,74,331,"5,022","9,493","97,541"
3916,26/10/2023,1,6,17,19,34,45,48,-,"$83,456","$2,273",$412,$50,$25,$10,-,4,101,304,"6,592","8,038","129,939"
3917,30/10/2023,12,24,26,32,34,38,28,"$5,617,423","$73,872","$1,639",$294,$50,$25,$10,1,8,248,755,"11,844","18,351","214,906"
3918,02/11/2023,3,12,22,29,35,42,49,"$1,166,022","$245,479","$1,395",$493,$50,$25,$10,1,1,121,187,"5,408","5,870","95,303"
3919,06/11/2023,11,20,22,28,32,37,4,"$1,223,114",-,"$1,655",$352,$50,$25,$10,1,-,107,275,"5,376","8,011","101,047"
3920,09/11/2023,2,3,11,17,35,40,45,-,"$509,652","$2,016",$466,$50,$25,$10,-,1,86,203,"5,129","6,065","102,259"
3921,13/11/2023,6,10,16,24,27,43,31,"$2,919,480","$72,495","$1,484",$339,$50,$25,$10,1,5,168,402,"8,524","11,128","150,675"
3922,16/11/2023,10,13,15,28,29,37,22,-,"$80,205","$1,452",$311,$50,$25,$10,-,3,114,291,"5,287","7,514","97,413"
3923,20/11/2023,12,13,18,22,25,28,47,-,"$57,728",$957,$376,$50,$25,$10,-,6,249,346,"10,561","8,392","162,803"
