number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning,year,month,day_of_week,Odd,Even,1 to 9,10 to 19,20 to 29,30 to 39,40 to 49,Total,Average,SD,gap_mean,gap_sd,Total winners,consecutive numbers,count_repeated_numbers,repeated_numbers,repeated_numbers_1,repeated_numbers_2,repeated_numbers_3,repeated_numbers_4
3803,2022-09-26,6,19,24,34,43,46,21,1207911,254297,1841,444,50,25,10,1,1,95,215,4905,6316,88313,2022,9,Monday,3,4,1,1,2,1,2,193,27.57,14.22,6.67,4.19,99846,0,2,"[np.int64(19), np.int64(43)]",19,43,0,0
3804,2022-09-29,27,29,31,44,46,49,42,0,121313,2060,515,50,25,10,0,2,81,177,3892,5524,74866,2022,9,Thursday,4,3,0,0,2,1,4,268,38.29,9.01,3.67,3.3,84542,0,1,[np.int64(46)],46,0,0,0
3805,2022-10-03,7,16,20,29,33,42,39,2783637,57234,1467,361,50,25,10,1,6,161,357,7159,8941,129099,2022,10,Monday,4,3,1,1,2,2,1,186,26.57,12.77,5.83,2.41,145724,0,2,"[np.int64(42), np.int64(29)]",42,29,0,0
3806,2022-10-06,10,19,20,22,26,46,4,0,80454,1169,228,50,25,10,0,3,142,398,6373,9694,105527,2022,10,Thursday,1,6,1,2,3,0,1,147,21.0,13.33,7.0,6.38,122137,1,1,[np.int64(20)],20,0,0,0
3807,2022-10-10,8,10,18,26,42,47,49,0,174778,2037,425,50,25,10,0,2,118,309,7471,8761,143442,2022,10,Monday,2,5,1,2,1,0,3,200,28.57,17.43,6.83,4.78,160103,0,2,"[np.int64(10), np.int64(26)]",10,26,0,0
3808,2022-10-13,2,4,8,17,22,40,6,0,93427,1460,233,50,25,10,0,6,264,905,14351,23468,245451,2022,10,Thursday,1,6,4,1,1,0,1,99,14.14,13.5,6.33,5.79,284445,0,1,[np.int64(8)],8,0,0,0
3809,2022-10-17,1,8,16,24,38,43,15,5560463,74361,1633,352,50,25,10,2,16,501,1269,25697,36995,473834,2022,10,Monday,3,4,2,2,1,1,1,145,20.71,15.34,7.0,3.87,538314,0,1,[np.int64(8)],8,0,0,0
3810,2022-10-20,2,9,19,27,33,37,21,0,39099,1630,250,50,25,10,0,6,99,352,6215,7702,104310,2022,10,Thursday,6,1,2,1,2,2,0,148,21.14,12.55,5.83,2.48,118684,0,0,0,0,0,0,0
3811,2022-10-24,7,11,17,21,41,43,30,2824881,51446,1191,327,50,25,10,1,7,208,414,9166,11281,150942,2022,10,Monday,6,1,1,2,1,1,2,170,24.29,14.15,6.0,3.11,172019,0,1,[np.int64(21)],21,0,0,0
3812,2022-10-27,13,16,25,41,45,46,20,0,120761,1887,470,50,25,10,0,2,88,193,3767,5478,73822,2022,10,Thursday,4,3,0,2,2,0,3,206,29.43,14.2,5.5,4.86,83350,1,1,[np.int64(41)],41,0,0,0
3813,2022-10-31,4,14,17,25,29,49,36,0,119405,1811,368,50,25,10,0,3,136,366,7492,9131,133747,2022,10,Monday,4,3,1,2,2,1,1,174,24.86,14.94,7.5,3.4,150875,0,1,[np.int64(25)],25,0,0,0
3814,2022-11-03,13,21,24,25,26,41,11,5578700,143683,2196,366,50,25,10,1,4,180,590,10931,18225,202367,2022,11,Thursday,5,2,0,2,4,0,1,161,23.0,9.88,5.0,5.07,232298,2,1,[np.int64(25)],25,0,0,0
3815,2022-11-07,10,14,33,37,39,45,28,0,0,1821,416,50,25,10,0,0,97,232,4750,6348,85452,2022,11,Monday,4,3,0,2,1,3,1,206,29.43,13.05,5.83,3.85,96879,0,0,0,0,0,0,0
3816,2022-11-10,10,23,28,35,39,46,6,0,202232,2022,418,50,25,10,0,3,119,314,6720,9966,124920,2022,11,Thursday,3,4,1,1,2,2,1,187,26.71,14.81,6.67,3.09,142042,0,3,"[np.int64(10), np.int64(28), np.int64(39)]",10,28,39,0
3817,2022-11-14,8,15,22,26,34,45,32,5675646,196060,1550,359,50,25,10,1,3,261,615,13637,16625,239442,2022,11,Monday,2,5,1,1,2,2,1,182,26.0,12.4,6.17,2.79,270584,0,0,0,0,0,0,0
3818,2022-11-17,1,10,16,23,38,49,25,1156436,121731,1288,356,50,25,10,1,2,130,257,5563,6992,96697,2022,11,Thursday,4,3,1,2,2,1,1,162,23.14,16.36,8.0,3.56,109642,0,0,0,0,0,0,0
3819,2022-11-21,3,9,21,30,36,46,2,0,123190,1783,345,50,25,10,0,2,95,268,6217,8198,106364,2022,11,Monday,3,4,3,0,1,2,1,147,21.0,17.13,7.33,3.54,121144,0,0,0,0,0,0,0
3820,2022-11-24,3,8,11,21,24,31,25,2708396,53969,709,200,50,25,10,1,6,314,608,12441,12697,180433,2022,11,Thursday,5,2,2,1,3,1,0,123,17.57,10.29,4.67,2.87,206500,0,2,"[np.int64(3), np.int64(21)]",3,21,0,0
3821,2022-11-28,7,16,17,28,37,48,14,0,82168,1823,366,50,25,10,0,3,93,253,5247,6928,96612,2022,11,Monday,3,4,1,3,1,1,1,167,23.86,14.51,6.83,4.02,109136,1,0,0,0,0,0,0
